treinamento;Teste;Validação
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.12802768;88.22055138;92.38754325
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
92.04152249;88.22055138;92.73356401
91.9550173;87.96992481;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.69550173;87.71929825;92.73356401
91.34948097;87.71929825;92.73356401
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.17647059;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
91.00346021;87.71929825;93.42560554
90.74394464;87.46867168;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.74394464;86.96741855;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.48442907;86.71679198;93.42560554
90.31141869;86.71679198;93.42560554
90.31141869;86.71679198;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.22491349;86.46616541;93.42560554
90.05190311;86.46616541;93.42560554
90.05190311;86.46616541;93.42560554
90.05190311;86.46616541;93.42560554
89.87889273;86.46616541;93.42560554
89.87889273;86.46616541;93.42560554
